"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2019","1,957.17","1,956.28","1,961.39","1,946.20","-","-0.03%"
"Jan 10, 2019","1,957.69","1,952.68","1,957.69","1,938.59","-","0.34%"
"Jan 09, 2019","1,950.99","1,935.62","1,957.13","1,935.60","-","0.79%"
"Jan 08, 2019","1,935.79","1,920.23","1,940.13","1,919.54","-","0.84%"
"Jan 07, 2019","1,919.75","1,904.10","1,927.69","1,904.03","-","0.82%"
"Jan 04, 2019","1,904.18","1,853.69","1,906.42","1,847.89","-","2.75%"
"Jan 03, 2019","1,853.18","1,883.14","1,884.98","1,852.71","-","-1.49%"
"Jan 02, 2019","1,881.15","1,885.13","1,885.70","1,857.89","-","-0.15%"
"Jan 01, 2019","1,883.93","1,885.41","1,886.77","1,883.93","-","0.00%"
"Dec 31, 2018","1,883.90","1,871.36","1,885.06","1,870.83","-","0.70%"
"Dec 28, 2018","1,870.80","1,862.93","1,887.38","1,861.77","-","0.45%"
"Dec 27, 2018","1,862.38","1,848.17","1,863.25","1,820.86","-","0.63%"
"Dec 26, 2018","1,850.70","1,795.99","1,850.70","1,794.00","-","3.09%"
"Dec 25, 2018","1,795.28","1,802.60","1,802.60","1,794.04","-","-0.43%"
"Dec 24, 2018","1,802.95","1,833.04","1,834.32","1,802.54","-","-1.74%"
"Dec 21, 2018","1,834.97","1,864.58","1,876.68","1,828.73","-","-1.50%"
"Dec 20, 2018","1,862.82","1,890.53","1,890.93","1,853.75","-","-1.58%"
"Dec 19, 2018","1,892.71","1,908.58","1,929.96","1,887.47","-","-0.81%"
"Dec 18, 2018","1,908.16","1,914.53","1,924.91","1,900.56","-","-0.32%"
"Dec 17, 2018","1,914.33","1,942.95","1,944.34","1,907.99","-","-1.45%"
"Dec 14, 2018","1,942.55","1,975.03","1,975.18","1,940.06","-","-1.61%"
"Dec 13, 2018","1,974.41","1,975.50","1,986.24","1,969.18","-","-0.07%"
