"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Jan 10, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Jan 09, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Jan 08, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Jan 07, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Jan 04, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Jan 03, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Jan 02, 2019","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Dec 31, 2018","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Dec 28, 2018","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Dec 27, 2018","2.4000","2.4000","2.4000","2.4000","-","0.00%"
"Dec 26, 2018","2.4000","2.4000","2.4000","2.4000","-","0.42%"
"Dec 24, 2018","2.3900","2.3900","2.3900","2.3900","-","0.00%"
"Dec 21, 2018","2.3900","2.3900","2.3900","2.3900","-","0.00%"
"Dec 20, 2018","2.3900","2.3900","2.3900","2.3900","-","9.13%"
"Dec 19, 2018","2.1900","2.1900","2.1900","2.1900","-","0.00%"
"Dec 18, 2018","2.1900","2.1900","2.1900","2.1900","-","0.00%"
"Dec 17, 2018","2.1900","2.1900","2.1900","2.1900","-","0.00%"
"Dec 14, 2018","2.1900","2.1900","2.1900","2.1900","-","0.00%"
"Dec 13, 2018","2.1900","2.1900","2.1900","2.1900","-","0.00%"
